game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_win,winner_team
2010_W17_MIN_at_DET,2010,17,2011-01-02,DET,MIN,20,13,1,DET
2010_W17_NYG_at_WAS,2010,17,2011-01-02,WAS,NYG,14,17,0,NYG
2010_W17_OAK_at_KC,2010,17,2011-01-02,KC,OAK,10,31,0,OAK
2010_W17_PIT_at_CLE,2010,17,2011-01-02,CLE,PIT,9,41,0,PIT
2010_W17_SD_at_DEN,2010,17,2011-01-02,DEN,SD,28,33,0,SD
2010_W17_STL_at_SEA,2010,17,2011-01-02,SEA,STL,16,6,1,SEA
2010_W17_TB_at_NO,2010,17,2011-01-02,NO,TB,13,23,0,TB
2010_W17_TEN_at_IND,2010,17,2011-01-02,IND,TEN,23,20,1,IND
2011_W01_NO_at_GB,2011,1,2011-09-08,GB,NO,42,34,1,GB
2011_W01_ATL_at_CHI,2011,1,2011-09-11,CHI,ATL,30,12,1,CHI
2011_W01_BUF_at_KC,2011,1,2011-09-11,KC,BUF,7,41,0,BUF
2011_W01_CAR_at_ARI,2011,1,2011-09-11,ARI,CAR,28,21,1,ARI
2011_W01_CIN_at_CLE,2011,1,2011-09-11,CLE,CIN,17,27,0,CIN
2011_W01_DAL_at_NYJ,2011,1,2011-09-11,NYJ,DAL,27,24,1,NYJ
2011_W01_DET_at_TB,2011,1,2011-09-11,TB,DET,20,27,0,DET
2011_W01_IND_at_HOU,2011,1,2011-09-11,HOU,IND,34,7,1,HOU
2011_W01_MIN_at_SD,2011,1,2011-09-11,SD,MIN,24,17,1,SD
2011_W01_NYG_at_WAS,2011,1,2011-09-11,WAS,NYG,28,14,1,WAS
2011_W01_PHI_at_STL,2011,1,2011-09-11,STL,PHI,13,31,0,PHI
2011_W01_PIT_at_BAL,2011,1,2011-09-11,BAL,PIT,35,7,1,BAL
2011_W01_SEA_at_SF,2011,1,2011-09-11,SF,SEA,33,17,1,SF
2011_W01_TEN_at_JAX,2011,1,2011-09-11,JAX,TEN,16,14,1,JAX
2011_W01_NE_at_MIA,2011,1,2011-09-12,MIA,NE,24,38,0,NE
2011_W01_OAK_at_DEN,2011,1,2011-09-12,DEN,OAK,20,23,0,OAK
2011_W02_ARI_at_WAS,2011,2,2011-09-18,WAS,ARI,22,21,1,WAS
2011_W02_BAL_at_TEN,2011,2,2011-09-18,TEN,BAL,26,13,1,TEN
2011_W02_CHI_at_NO,2011,2,2011-09-18,NO,CHI,30,13,1,NO
2011_W02_CIN_at_DEN,2011,2,2011-09-18,DEN,CIN,24,22,1,DEN
2011_W02_CLE_at_IND,2011,2,2011-09-18,IND,CLE,19,27,0,CLE
2011_W02_DAL_at_SF,2011,2,2011-09-18,SF,DAL,24,27,0,DAL
2011_W02_GB_at_CAR,2011,2,2011-09-18,CAR,GB,23,30,0,GB
2011_W02_HOU_at_MIA,2011,2,2011-09-18,MIA,HOU,13,23,0,HOU
2011_W02_JAX_at_NYJ,2011,2,2011-09-18,NYJ,JAX,32,3,1,NYJ
2011_W02_KC_at_DET,2011,2,2011-09-18,DET,KC,48,3,1,DET
2011_W02_OAK_at_BUF,2011,2,2011-09-18,BUF,OAK,38,35,1,BUF
2011_W02_PHI_at_ATL,2011,2,2011-09-18,ATL,PHI,35,31,1,ATL
2011_W02_SD_at_NE,2011,2,2011-09-18,NE,SD,35,21,1,NE
2011_W02_SEA_at_PIT,2011,2,2011-09-18,PIT,SEA,24,0,1,PIT
2011_W02_TB_at_MIN,2011,2,2011-09-18,MIN,TB,20,24,0,TB
2011_W02_STL_at_NYG,2011,2,2011-09-19,NYG,STL,28,16,1,NYG
2011_W03_ARI_at_SEA,2011,3,2011-09-25,SEA,ARI,13,10,1,SEA
2011_W03_ATL_at_TB,2011,3,2011-09-25,TB,ATL,16,13,1,TB
2011_W03_BAL_at_STL,2011,3,2011-09-25,STL,BAL,7,37,0,BAL
2011_W03_DEN_at_TEN,2011,3,2011-09-25,TEN,DEN,17,14,1,TEN
